brand,model,category,stability,cushioning,stack_heel_mm,drop_mm,weight_g,widths,toebox,plate,best_for,heavier_runner_ok,beginner_friendly,durability,rrp_gbp,retailer,retailer_url,awin_mid,wg_programid,partnerize_camref,discount_percent,discount_code,affiliate_url,image_url,review_url,one_liner,status
Nike,Pegasus 42,daily_trainer,neutral,balanced,37,10,286,narrow;standard;wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,high,129.99,SportsShoes,https://www.sportsshoes.com/store/nike-pegasus,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NIKEMENSPEGASUS42BLACK1.png?v=1770200876,https://runrepeat.com/uk/nike-pegasus-42,"The safe all rounder. Handles daily runs, treadmill sessions and the odd parkrun without fuss.",current
Nike,Vomero 18,max_cushion,neutral,plush,46,10,298,narrow;standard;wide;extra_wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,134.99,SportsShoes,https://www.sportsshoes.com/store/nike-vomero,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NikeMensVomero18BlackDarkSmoke1.png?v=1749460872,https://runrepeat.com/uk/nike-vomero-18,"Thick, soft and forgiving underfoot. Great value if you want maximum comfort on easy runs.",current
Nike,Vomero Plus,max_cushion,neutral,plush,45,10,289,narrow;standard;wide;extra_wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,high,154.99,SportsShoes,https://www.sportsshoes.com/store/nike-vomero,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NIKEMENSVOMEROPLUSTHUNDERBLUEOBSIDIAN1.png?v=1768817632,https://runrepeat.com/uk/nike-vomero-plus,"Nike's softest everyday shoe. Bouncy foam that makes long, slow miles feel much easier.",current
Nike,Structure 26,stability,stability,balanced,37,10,296,standard;wide;extra_wide,medium,none,easy_miles;long_run;first_shoe;walking,yes,yes,high,134.99,SportsShoes,https://www.sportsshoes.com/store/nike-air-zoom-structure,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NIKESTRUCTURE26WHITEMENS1.png?v=1771237632,https://runrepeat.com/uk/nike-structure-26,Steady and supportive if your ankles roll inwards. Built to last a lot of miles.,current
Nike,Zoom Fly 6,tempo,neutral,balanced,40,8,248,standard,medium,carbon,easy_miles;long_run;speed_work;race_day,yes,no,medium,154.99,SportsShoes,https://www.sportsshoes.com/store/nike-zoom-fly,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NIKEWOMENSZOOMFLY6SAIL1.png?v=1770112638,https://runrepeat.com/uk/nike-zoom-fly-6,A carbon plated trainer for faster sessions. Race day feel that survives everyday training.,current
Nike,Vaporfly 4,race,neutral,balanced,40,8,166,standard;wide,medium,carbon,speed_work;race_day,no,no,low,239.99,SportsShoes,https://www.sportsshoes.com/store/nike-vaporfly,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NIKEMENSVAPORFLY4NEXTMULTI1.png?v=1762522377,https://runrepeat.com/uk/nike-vaporfly-4,Feather light race shoe for 5k up to marathon. Save it for the big days.,current
Nike,Alphafly 3,race,neutral,plush,40,8,210,standard,medium,carbon,speed_work;race_day,yes,no,medium,284.99,SportsShoes,https://www.sportsshoes.com/store/nike-alphafly,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/NikemensAlphafly3Multi1.png?v=1762355128,https://runrepeat.com/uk/nike-alphafly-3,Nike's flagship marathon shoe. Springy air pods and a carbon plate for one big effort.,current
Nike,Pegasus Trail 5,trail,neutral,balanced,35,8,300,standard,wide,none,trail;easy_miles,yes,yes,medium,134.99,SportsShoes,https://www.sportsshoes.com/store/nike-pegasus-trail,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/1_540c15fd-7a6e-4c05-b2d6-a23510f181d7.png?v=1754916751,https://runrepeat.com/uk/nike-pegasus-trail-5,"A road shoe feel with proper grip. Good for towpaths, parks and light trails.",current
Nike,Wildhorse 10,trail,neutral,balanced,33,9,297,standard,medium,none,trail;easy_miles,yes,yes,high,134.99,SportsShoes,https://www.sportsshoes.com/store/nike-wildhorse,,,,,,,,https://runrepeat.com/uk/nike-wildhorse-10,"Tough and grippy for muddy, rocky British trails. Underfoot protection without feeling clumsy.",current
Asics,Gel-Nimbus 28,max_cushion,neutral,plush,43,8,278,standard;wide;extra_wide,medium,none,easy_miles;long_run;comfort;walking;gym,yes,yes,high,179.99,SportsShoes,https://www.sportsshoes.com/store/asics-gel-nimbus,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/1_958e2913-a504-4f35-8d3a-841e97b71f94.png?v=1763979634,https://runrepeat.com/uk/asics-gel-nimbus-28,"Soft, protective and forgiving. The default choice for comfortable everyday miles.",current
Asics,Gel-Cumulus 28,daily_trainer,neutral,plush,41,8,252,standard;wide;extra_wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,medium,139.99,SportsShoes,https://www.sportsshoes.com/store/asics-gel-cumulus,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/86829dde-ec95-4bd2-b3f5-63aafc3477a8.png?v=1767400491,https://runrepeat.com/uk/asics-gel-cumulus-28,Softer and cheaper than the Nimbus. A sensible first proper running shoe.,current
Asics,Novablast 6,daily_trainer,neutral,balanced,41,8,249,standard;wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,high,139.99,SportsShoes,https://www.sportsshoes.com/store/asics-novablast,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/1_e00dae13-4b14-4898-8f9a-4ecbd081d3f9.png?v=1781693820,https://runrepeat.com/uk/asics-novablast-6,Bouncy and fun but still cushioned. Happy plodding along or picking up the pace.,current
Asics,Gel-Kayano 33,stability,stability,plush,40,8,298,narrow;standard;wide;extra_wide,medium,none,easy_miles;long_run;comfort;walking,yes,yes,high,179.99,SportsShoes,https://www.sportsshoes.com/store/asics-gel-kayano,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-1_02ba12d2-ab11-43fe-824b-4bd1c1842760.png?v=1779696400,https://runrepeat.com/uk/asics-gel-kayano-33,"The classic support shoe. Plush, stable and very hard to fall out with.",current
Asics,GT-2000 15,stability,mild_support,balanced,37,8,275,standard;wide;extra_wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,high,134.99,SportsShoes,https://www.sportsshoes.com/store/asics-gt-2000,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-1_21e8c111-8ed3-44a4-96b8-b2584d9dc32f.png?v=1785320412,,Gentle support at a fair price. A reliable starting point if you need stability.,current
Asics,Superblast 3,tempo,neutral,plush,46,8,235,standard,medium,none,easy_miles;long_run;speed_work,yes,no,high,199.99,SportsShoes,https://www.sportsshoes.com/store/asics-superblast,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/aa_adef9550-4b04-4bb0-a49c-6ef7dbd0e05a.png?v=1777981628,https://runrepeat.com/uk/asics-superblast-3,"Tall, light and lively. Expensive, but it can do almost every type of run.",current
Asics,Magic Speed 5,tempo,neutral,balanced,35,7,196,standard;wide,medium,carbon,easy_miles;speed_work;race_day,no,no,medium,170,SportsShoes,https://www.sportsshoes.com/store/asics-magic-speed,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-1_1a251f89-3939-4d3c-bd38-497cfdff7744.png?v=1779708094,https://runrepeat.com/uk/asics-magic-speed-5,Light carbon plated shoe for faster running. A cheaper way into race style shoes.,current
Asics,Metaspeed Sky Tokyo,race,neutral,balanced,39,5,169,standard,medium,carbon,speed_work;race_day,no,no,low,239.99,SportsShoes,https://www.sportsshoes.com/store/asics-metaspeed,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/AsicsUnisexMetaspeedSkyTokyo.png?v=1771258699,https://runrepeat.com/uk/asics-metaspeed-sky-tokyo,Very light racing shoe built for runners who lengthen their stride at speed.,current
Asics,Gel-Trabuco 14,trail,mild_support,balanced,37,8,290,standard;wide,medium,none,trail;easy_miles;long_run,yes,yes,high,129.99,SportsShoes,https://www.sportsshoes.com/store/asics-gel-trabuco,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-1_39747448-83f0-4d7a-be0a-3a4a1d750b32.png?v=1779695081,https://runrepeat.com/uk/asics-trabuco-14,"A dependable everyday trail shoe. Good grip, decent cushioning and it lasts well.",current
Adidas,Supernova Rise 3,daily_trainer,neutral,plush,35,8,264,standard;wide,medium,none,easy_miles;comfort;first_shoe;walking;gym,yes,yes,medium,129.99,SportsShoes,https://www.sportsshoes.com/store/adidas-supernova,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/prima2.5.png?v=1760612052,https://runrepeat.com/uk/adidas-supernova-rise-3,"Soft, roomy and easy going. Adidas' straightforward shoe for regular training runs.",current
Adidas,Supernova Solution 3,stability,stability,plush,35,8,281,standard,wide,none,easy_miles;comfort;first_shoe;walking;gym,yes,yes,medium,129.99,SportsShoes,https://www.sportsshoes.com/store/adidas-supernova,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/adidassupernovasolution2aurora1.png?v=1774857132,https://runrepeat.com/uk/adidas-supernova-solution-3,Cushioned support with a generous fit. Quietly keeps your foot tracking straight.,current
Adidas,Supernova Prima 3,max_cushion,neutral,plush,40,6,275,standard,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,medium,149.99,SportsShoes,https://www.sportsshoes.com/store/adidas-supernova,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/adidasmenssupernovaprima31.png?v=1780316946,https://runrepeat.com/uk/adidas-supernova-prima-3,"Adidas' softest everyday cushion. Made for slow, comfortable miles rather than speed.",current
Adidas,Adizero Evo SL,tempo,neutral,balanced,36,6,224,standard;wide,medium,none,easy_miles;long_run;speed_work,yes,no,medium,129.99,SportsShoes,https://www.sportsshoes.com/store/adidas-adizero-evo-sl,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/adidasevoslwovengrey1.png?v=1777458821,https://runrepeat.com/uk/adidas-adizero-evo-sl,"Light, springy and great value. A favourite for faster runs and shorter races.",current
Adidas,Adizero Boston 13,tempo,neutral,firm,39,6,254,standard;wide,medium,carbon,easy_miles;speed_work;race_day,yes,no,high,139.99,SportsShoes,https://www.sportsshoes.com/store/adidas-adizero-boston,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-1-Recovered-Recovered-Recovered_41fa8501-81d5-409c-8fed-584bc0887cd7.png?v=1767622681,https://runrepeat.com/uk/adidas-adizero-boston-13,Firm and purposeful with rods for push off. Best when you want to work.,current
Adidas,Adizero Adios Pro 4,race,neutral,balanced,39,6,200,standard;wide,narrow,carbon,speed_work;race_day,no,no,medium,219.99,SportsShoes,https://www.sportsshoes.com/store/adidas-adizero-adios-pro,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/pro4.3.png?v=1760606105,https://runrepeat.com/uk/adidas-adizero-adios-pro-4,"Adidas' top marathon racer. Very light, very fast and fits on the narrow side.",current
Adidas,Ultraboost 5,daily_trainer,neutral,plush,36,10,294,standard,medium,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,160,SportsShoes,https://www.sportsshoes.com/store/adidas-ultraboost,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/AdidasWomensUltraboost5-CoreBlack.png?v=1775830671,https://runrepeat.com/uk/adidas-ultraboost-5,Comfy and hard wearing but heavy. Better for walking and gentle jogs than training.,current
Adidas,Terrex Agravic Speed Ultra 2,trail,neutral,balanced,38,6,250,standard,medium,none,trail;easy_miles;long_run,no,no,medium,199.99,SportsShoes,https://www.sportsshoes.com/store/adidas-terrex,,,,,,,https://cdn.shopify.com/s/files/1/0274/5994/4471/files/Untitled-2_83215c42-660e-47b3-8635-ba65ac563060.png?v=1770984757,https://runrepeat.com/uk/adidas-terrex-agravic-speed-ultra-2,Light and quick on the trails. Aimed at long off road races rather than beginners.,current
Adidas,Terrex Agravic GORE-TEX 2,trail,neutral,balanced,32,8,320,standard,medium,none,trail;easy_miles,yes,yes,high,139.99,SportsShoes,https://www.sportsshoes.com/store/adidas-terrex,,,,,,,,,Waterproof and grippy for wet British winters. Keeps your feet dry on soggy paths.,current
Hoka,Clifton 11,daily_trainer,neutral,plush,42,8,283,standard;wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,medium,140,SportsShoes,https://www.sportsshoes.com/product/hok3602/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91074/511107/HOK3602_1000_1__55846.1781857034.jpg,,"Soft, light and easy to run in. Hoka's most popular everyday shoe for good reason.",current
Hoka,Bondi 9,max_cushion,neutral,plush,43,5,297,standard;wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,high,160,SportsShoes,https://www.sportsshoes.com/product/hok3617/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91526/514333/HOK3617_1000_1__89447.1783005527.png,https://runrepeat.com/uk/hoka-bondi-9,About as much cushioning as you can buy. Great if your legs and joints ache.,current
Hoka,Mach 7,tempo,neutral,balanced,37,5,237,standard;wide,medium,none,easy_miles;long_run;speed_work,no,no,medium,140,SportsShoes,https://www.sportsshoes.com/product/hok3624/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91111/511491/HOK3624_1000_1__39701.1782137927.jpg,https://runrepeat.com/uk/hoka-mach-7,Light and springy without being a race shoe. Good for picking up the pace.,current
Hoka,Arahi 9,stability,mild_support,balanced,37,8,284,standard;wide,medium,none,easy_miles;long_run;first_shoe;walking;gym,yes,yes,medium,140,SportsShoes,https://www.sportsshoes.com/product/hok3611/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91353/513131/HOK3611_1000_1__22346.1782807444.jpg,,"Gentle support built in without feeling stiff. A light, friendly stability shoe.",current
